"","Place","Year","Bup.patient","Rate.Denom","death","unemploy","Otps"
"1","Alamance",2016,543,159688,10,3730,0
"2","Alexander",2016,329,37428,4,756,0
"3","Alleghany",2016,62,10848,0,243,0
"4","Anson",2016,43,25448,0,616,0
"5","Ashe",2016,208,26924,2,598,0
"6","Avery",2016,163,17516,3,380,0
"7","Beaufort",2016,385,47526,1,1153,0
"8","Bertie",2016,80,19854,2,557,0
"9","Bladen",2016,174,33741,0,1005,0
"10","Brunswick",2016,966,126953,27,3197,0
"11","Buncombe",2016,883,256088,33,5183,3
"12","Burke",2016,487,88851,9,1935,0
"13","Cabarrus",2016,829,201590,31,4610,1
"14","Caldwell",2016,360,81449,8,1858,0
"15","Camden",2016,45,10418,0,239,0
"16","Carteret",2016,606,68890,11,1623,0
"17","Caswell",2016,69,22910,0,526,0
"18","Catawba",2016,810,156459,21,3632,2
"19","Chatham",2016,191,72243,1,1459,0
"20","Cherokee",2016,172,27905,3,632,0
"21","Chowan",2016,54,14383,0,358,0
"22","Clay",2016,42,10915,1,221,0
"23","Cleveland",2016,410,97144,3,2555,0
"24","Columbus",2016,438,56505,8,1447,0
"25","Craven",2016,562,103445,19,2180,1
"26","Cumberland",2016,903,327127,32,8129,2
"27","Currituck",2016,121,25809,4,665,0
"28","Dare",2016,394,35964,4,1346,0
"29","Davidson",2016,724,164926,21,3814,0
"30","Davie",2016,168,42013,8,905,0
"31","Duplin",2016,147,58969,1,1410,0
"32","Durham",2016,960,306212,15,7287,2
"33","Edgecombe",2016,140,53318,4,1942,0
"34","Forsyth",2016,1038,371511,43,8871,1
"35","Franklin",2016,234,64705,4,1530,0
"36","Gaston",2016,1346,216965,41,5624,1
"37","Gates",2016,29,11478,4,266,0
"38","Graham",2016,73,8558,0,273,0
"39","Granville",2016,287,59031,6,1263,0
"40","Greene",2016,62,21168,0,504,0
"41","Guilford",2016,1196,521330,58,13505,3
"42","Halifax",2016,193,51766,6,1636,0
"43","Harnett",2016,536,130881,10,2974,1
"44","Haywood",2016,525,60682,4,1292,1
"45","Henderson",2016,449,114209,7,2225,0
"46","Hertford",2016,97,24136,1,611,0
"47","Hoke",2016,141,53262,2,1310,0
"48","Hyde",2016,29,5517,0,199,0
"49","Iredell",2016,867,172916,13,4056,2
"50","Jackson",2016,173,42241,8,1022,0
"51","Johnston",2016,624,191450,9,4280,1
"52","Jones",2016,50,9845,1,238,0
"53","Lee",2016,442,59616,6,1539,1
"54","Lenoir",2016,287,57307,2,1619,0
"55","Lincoln",2016,390,81168,8,1933,0
"56","Macon",2016,147,34376,1,1007,0
"57","Madison",2016,69,21340,0,818,0
"58","Martin",2016,121,23172,1,471,0
"59","McDowell",2016,194,45075,1,662,1
"60","Mecklenburg",2016,1601,1054835,92,27563,3
"61","Mitchell",2016,209,15126,0,378,0
